你相信爱情吗？,Nǐ xiāngxìn àiqíng ma?,Do you believe in love?,HSK 4,1
我们要保护森林,wǒmen yào bǎohù sēnlín,We need to protect the forest,HSK 4,1
这个就表示他爱你,zhège jiù biǎoshì tā ài nǐ,What this means is he loves you,HSK 4,1
她抱着小儿子; 站在家门口等丈夫回家,tā bàozhe xiǎo érzi; zhàn zàijiā ménkǒu děng zhàngfū huí jiā,With the baby in her arm she waits at the doorstep for her husband to come home,HSK 4,1
每次见到她; 她都热情地和我打招呼,Měi cì jiàn dào tā; tā dōu rèqíng de hé wǒ dǎzhāohū,Every time I see her she greets me enthusiastically,HSK 4,1
当我离开中国的时候; 才发现我已经深深爱上了她,dāng wǒ líkāi zhōngguó de shíhòu; cái fāxiàn wǒ yǐjīng shēn shēn ài shàngle tā,When I was about to leave China I realized; that I had already fallen in love with her,HSK 4,1
你到底爱我还是爱她,nǐ dàodǐ ài wǒ háishì ài tā,So do you love me or her?,HSK 4,1
快看; 你对面的那个女孩儿长得真漂亮,kuài kàn; nǐ duìmiàn dì nàgè nǚhái ér zhǎng dé zhēn piàoliang,Look; the girl opposite to you is really pretty,HSK 4,1
女朋友已经生气了; 而他却没有感觉到,nǚ péngyǒu yǐjīng shēngqìle; ér tā què méiyǒu gǎnjué dào,His girlfriend is angry already; but he still doesn't seem to get it,HSK 4,1
他的女朋友最喜欢购物,Tā de nǚ péngyǒu zuì xǐhuān gòuwù,His girlfriend loves shopping,HSK 4,1
我想给我女朋友寄一张中国的明信片,wǒ xiǎng gěi wǒ nǚ péngyǒu jì yī zhāng zhōngguó de míngxìnpiàn,I want to send my girlfriend a post card from China,HSK 4,2
既然你不喜欢她; 就和她分手吧,jìrán nǐ bù xǐhuān tā; jiù hé tā fēnshǒu ba,Given that you don't like her; it might be best for you to break up,HSK 4,2
有什么想法可以去找她交流,yǒu shé me xiǎngfǎ kěyǐ qù zhǎo tā jiāoliú,What would be an excuse to get in a conversation with her?,HSK 4,2
美丽和聪明; 哪一个对于女人来说更重要？,měilì hé cōngmíng; nǎ yīgè duìyú nǚrén lái shuō gèng zhòngyào?,Beauty or intelligence; what's more important for a woman?,HSK 4,2
她如此喜欢他; 他却不知道,tā rúcǐ xǐhuān tā; tā què bù zhīdào,Don't you know how much she likes him?,HSK 4,2
女朋友昨天和他分手了; 他很伤心,nǚ péngyǒu zuótiān hé tā fēnshǒule; tā hěn shāngxīn,His girlfriend broke up with him yesterday; he is very sad,HSK 4,2
男朋友来参加她的毕业典礼; 她十分高兴,nán péngyǒu lái cānjiā tā de bìyè diǎnlǐ; tā shí fèn gāoxìng,Her boyfriend is coming to her graduation ceremony; she's very excited,HSK 4,2
